   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
LINE                                  LINE.LINE                           6.0.3.2213
LINQPad                               LINQPad.LINQPad                     6.8
llvm                                  LLVM.LLVM                           10.0.0
LMMS                                  LMMS.LMMS                           1.2.1
PyMODA                                LUPhysics.PyMODA                    1.1.0
Joplin                                LaurentCozic.Joplin                 1.0.201
Lazarus                               Lazarus.Lazarus                     2.0.8
Laragon                               LeNgocKhoa.Laragon                  4.0.15
LeoCAD                                LeonardoZide.LeoCAD                 19.07.1
Leonflix                              Leonflix.Leonflix                   0.7.0
FontBase                              Levitsky.FontBase                   2.11.3
AutoHotkey                            Lexikos.AutoHotkey                  1.1.32.00
LibreCAD                              LibreCAD.LibreCAD                   2.1.3
LibreOffice                           LibreOffice.LibreOffice             6.4.4
RetroArch                             Libretro.RetroArch                  1.8.7
Lisk Hub                              LiskFoundation.LiskHub              1.22.0
LastPass                              LogMeIn.LastPass                    4.43.0.7
Logitech Harmony Remote               Logitech.Harmony                    1.0.1.308
Logitech Gaming Software              Logitech.LGS                        9.02.65
Loom                                  Loom.Loom                           0.37.2
L├ûVE                                 Love2d.Love2d                       11.3
MyMoney.Net                           LovettSoftware.MyMoney.Net          1.1.61.0
Netron                                LutzRoeder.Netron                   4.3.6
LyX                                   LyX.LyX                             2.3.4.4
I Have No Tomatoes                    MHGames.IHaveNoTomatoes             1.5
Those Funny Funguloids!               MHGames.ThoseFunnyFunguloids        1.06
Scratch                               MITMediaLab.Scratch                 3.11.1
MKVToolNix                            MKVToolNix.MKVToolNix               46.0.0
Media Player Classic - Home Cinema... MPC-HC.MPC-HC                       1.7.13
Clink                                 MRidgers.Clink                      0.4.9
MacType                               MacType.MacType                     2019.1-beta6
Malwarebytes                          Malwarebytes.Malwarebytes           4.1.0.159
MSIX Hero                             MarcinOtorowski.MSIXHero            0.9.1.0
FreeCommander XE                      MarekJasinski.FreeCommanderXE       810a
